passenger_count,trip_distance,fare_amount,tip_amount,total_amount
1,2.4,12.0,2.75,16.55
2,1.4,9.5,0.0,10.3
1,4.8,20.5,4.25,25.55
1,6.07,20.5,4.25,25.55
1,1.2,7.5,1.65,9.95
1,1.7,9.0,1.0,11.3
2,1.83,10.5,2.26,13.56
1,2.65,10.0,2.16,12.96
5,3.49,14.0,2.96,17.76
1,2.67,17.0,3.56,21.36
1,1.3,12.0,0.0,12.8
1,0.44,4.0,1.16,6.96
1,0.9,10.5,0.0,11.3
5,8.73,37.0,0.0,38.8
4,4.08,15.0,3.0,24.84
1,1.1,7.5,1.65,9.95
1,1.33,7.5,0.0,8.8
1,1.4,8.5,0.0,9.3
1,1.0,5.5,1.0,8.3
1,4.6,17.5,5.49,23.79
1,1.2,7.0,1.65,9.95
1,5.8,23.0,5.0,28.8
1,1.46,10.5,0.0,11.3
1,0.73,5.5,0.0,6.3
2,3.62,16.0,0.0,17.8
6,4.08,24.0,4.96,29.76
1,2.0,8.5,0.7,10.0
1,2.7,14.0,2.95,17.75
1,4.54,18.5,5.08,25.38
3,0.81,6.5,1.46,8.76
1,1.42,10.5,1.7,13.0
1,4.1,18.0,3.2,22.0
5,0.9,7.5,0.0,8.3
1,2.03,9.0,1.96,11.76
3,1.1,6.5,1.66,9.96
1,3.9,19.0,3.0,23.8
2,3.8,16.5,3.45,20.75
6,1.0,7.5,0.0,8.3
2,0.6,5.5,0.0,7.3
1,1.27,12.5,0.0,13.3
1,3.82,20.0,0.0,20.8
1,0.75,7.0,1.0,8.8
1,3.65,13.5,0.0,20.84
2,2.42,10.5,2.0,13.8
1,3.0,12.5,0.0,13.3
1,1.1,7.5,3.0,12.3
1,2.3,13.5,2.43,16.73
2,0.8,5.0,0.0,6.8
1,1.63,9.5,2.06,12.36
2,1.32,11.0,2.36,14.16
5,1.6,6.5,1.46,8.76
1,1.97,10.0,0.0,10.8
1,4.7,15.5,2.0,19.3
1,13.11,47.0,2.0,50.3
4,0.9,7.5,1.86,11.16
1,3.22,15.5,3.46,20.76
1,2.88,11.5,2.0,15.3
1,1.6,7.0,1.0,9.8
1,1.07,10.0,0.0,10.8
1,1.56,8.5,1.0,10.3
1,0.9,5.5,2.0,8.8
1,2.3,10.0,2.15,12.95
1,14.72,46.0,10.57,63.41
2,1.17,7.5,0.0,8.3
1,1.4,7.0,0.7,9.5
1,2.06,8.0,1.0,10.3
1,1.5,9.0,1.96,11.76
5,0.73,5.0,0.0,6.3
1,1.98,12.0,1.0,13.8
1,3.1,15.0,1.0,16.8
1,0.4,5.5,1.8,9.1
1,0.92,6.0,0.0,7.8
1,1.3,6.5,1.46,8.76
1,1.01,6.0,0.0,6.8
1,0.77,5.5,0.0,7.3
1,1.11,6.0,0.0,6.8
1,2.4,15.0,1.2,17.0
1,0.88,6.5,0.0,7.3
1,2.16,12.0,0.0,13.8
1,0.17,3.0,0.0,3.8
1,1.05,6.5,0.0,7.3
1,0.65,4.5,0.0,5.3
1,1.9,8.0,0.0,9.3
1,3.3,14.5,2.0,17.3
1,3.7,21.5,5.0,27.3
1,0.7,5.0,0.0,5.8
1,2.7,12.0,0.0,12.8
5,0.75,7.0,1.76,10.56
6,1.42,6.5,0.0,7.3
1,1.0,5.5,1.02,7.82
1,0.81,5.5,1.26,7.56
1,1.85,12.5,3.32,16.62
6,0.74,5.5,1.2,7.5
1,0.9,5.5,0.0,7.3
1,4.93,18.5,3.86,23.16
1,1.4,6.5,0.0,7.8
2,2.49,12.0,2.56,15.36
1,1.49,9.5,0.0,11.3
1,11.4,43.5,9.05,54.35
2,19.4,52.0,10.55,63.35
1,1.18,9.0,1.96,11.76
5,18.86,68.5,21.08,105.38
5,0.66,8.5,1.5,10.8
2,0.8,6.0,1.56,9.36
1,11.31,39.0,9.07,54.41
1,1.2,7.0,1.75,10.55
5,1.18,5.0,1.89,8.19
2,1.01,6.0,1.36,8.16
1,5.2,30.0,5.0,41.34
4,2.21,12.5,1.0,14.3
1,2.2,13.5,2.0,16.3
6,0.96,7.0,0.0,7.8
1,1.57,7.5,0.0,8.3
1,1.25,6.0,1.5,8.3
5,1.4,7.5,1.66,9.96
2,4.18,19.0,3.0,22.8
1,1.34,8.0,0.0,8.8
1,1.8,8.0,0.0,8.8
1,15.95,52.0,10.56,63.36
1,2.4,11.0,0.0,11.8
